Yearmonth,NetSales_Qty
201004,5867
201005,10358
201006,13516
201007,10614
201008,14990
201009,10231
201010,13105
201011,10916
201012,11488
201101,10218
201102,11888
201103,11797
201104,13057
201105,14703
201106,23945
201107,19305
201108,32192
201109,16045
201110,24090
201111,18207
201112,27842
201201,23473
201202,21923
201203,20186
201204,20917
201205,22214
201206,28962
201207,42136
201208,35125
201209,26470
201210,28674
201211,29699
201212,28548
201301,24320
201302,22084
201303,24472
201304,25355
201305,30814
201306,28375
201307,30470
201308,42077
201309,25474
201310,28483
201311,24761
201312,26162
201401,22263
201402,21364
201403,22532
